#id,rmsid,name,type,ra,dec,flux8,flux12,flux14,flux21,jmag,hmag,kmag,vlsr,rgc,kds,d,blank,firlum,firflux,blank2,GAL_LONG,GAL_LAT
1,2400,G010.1615-00.3623,Diffuse HII region,09:26.9,-20:19:28.2,29.446,103.53,146.22,692.25,-999..,-999,-999,15.8,6.1,nj,2.2,-999,1.10E+05,MSX,,10.16161933,-0.362468943
2,2395,G010.1880-00.3162,Diffuse HII region?,09:19.8,-20:16:44.4,3.222,5.061,3.18,9.63,15.9,14.8,14.1,11.1,6.6,-999,2.2,-999,1.50E+03,MSX,,10.188082,-0.31630436
3,2386,G010.3208-00.1570,HII/YSO,09:00.6,-20:05:08.5,18.565,63.192,95.48,310.27,16.9,13.9,12.9,-999,-999,-999,-999.0,-999,-999,MSX,,10.32087972,-0.157060619
4,2358,G010.3844+02.2128,YSO?,00:22.7,-18:52:09.7,3.741,7.529,9.99,10.38,18.3,14.5,11.5,5.3,7.6,nz,0.9,-999,914,MIPS/IGA,,10.38407497,2.212582235
5,2376,G010.4413+00.0101,HII region,08:38.2,-19:53:57.4,1.129,3.068,3.91,9.91,15.8,14.9,13.9,68.8,3,-999,11.0,,1.30E+06,IRAS,,10.4413924,0.010054913
6,2378,G010.4718+00.0206,HII region,08:39.7,-19:52:03.0,0.753,1.334,1.31,3.84,15.8,14.8,13.4,67.5,3.1,-999,11.0,-999,1.50E+04,MSX,,10.47191921,0.020532364
7,2360,G010.5067+02.2285,YSO?,00:34.6,-18:45:17.6,0.342,0.885,1.24,3.25,15.1,14.5,12.3,22.3,5.4,nz,3.1,-999,1.90E+03,MIPS/IGA,,10.5068782,2.228471203
8,2419,G010.5975-00.3838,Diffuse HII region,10:25.6,-19:57:11.5,5.633,21.882,30.53,78.77,18.1,13.8,12,-2.5,9.2,fo,17.5,-999,4.00E+05,MIPS/IGA,,10.5976318,-0.383978115
9,2416,G010.6207-00.3199,Diffuse HII region,10:14.1,-19:54:07.5,0.222,0.714,1.45,4.9,16.1,14,12.6,-3.7,9.5,fo,17.5,-999,1.30E+05,MIPS/IGA,,10.62073687,-0.320023443
10,2420,G010.6235-00.3834,HII/YSO,10:28.7,-19:55:48.7,1.611,2.305,5.59,43.29,16.6,15.3,14.2,-999,-999,-999,-999.0,-999,-999,IRAS,,10.62361761,-0.383477168
11,4869,G010.6260-00.3744,HII region,10:27.0,-19:55:25.3,0.382,-0.694,-0.52,4.04,18.3,15.7,13.8,-999,-999,-999,-999.0,-999,-999,MSX,,10.62609652,-0.374507733
12,2417,G010.6291-00.3385,HII region,10:19.3,-19:54:12.1,3.749,6.048,7.3,29.58,-999,-999,-999,-4,9.6,fo,17.5,-999,3.70E+05,MIPS/IGA,,10.62934201,-0.338274616
13,2421,G010.6311-00.3864,HII region,10:30.3,-19:55:30.0,1.629,2.434,3.64,15.25,13.5,10.2,8.6,-2.2,9.1,fo,17.5,-999,7.50E+06,IRAS,,10.63121089,-0.386493964
14,2584,G010.8411-02.5919,YSO,19:12.1,-20:47:30.9,10.935,21.781,36.43,173.66,16.3,13.2,9.7,11.4,6.7,nz,1.8,-999,2.20E+04,MIPS/IGA,,10.84136276,-2.591628279
15,2389,G010.8856+00.1221,YSO,09:08.0,-19:27:24.0,2.243,5.303,10,18.86,15.6,12.9,9.6,19.4,5.8,-999,13.5,-999,9.00E+04,MIPS/IGA,,10.88511234,0.122486267
16,2406,G010.9592+00.0217,HII region,09:39.4,-19:26:28.3,0.347,1.617,3.34,12.58,-999,-999,-999,20.6,5.7,-999,13.5,-999,2.20E+05,MIPS/IGA,,10.95830732,0.022124716
17,2408,G010.9657+00.0083,HII region,09:43.4,-19:26:28.6,1.952,4.838,5.82,11.42,16.8,14.2,13.2,20.5,5.7,-999,13.5,-999,8.40E+04,MIPS/IGA,,10.96585458,0.008294056
18,2427,G011.0732-00.2295,Diffuse HII region,10:49.6,-19:27:43.5,0.89,1.514,1.95,7.19,12.8,13,11.4,29.3,5,-999,13.5,-999,2.60E+04,MIPS/IGA,,11.07327241,-0.229575141
19,2430,G011.1109-00.4001,HII region,11:32.3,-19:30:40.7,5.052,11.196,16.47,68.05,-999,-999,-999,-1.1,8.9,fo,17.5,-999,5.20E+05,MIPS/IGA,,11.11097912,-0.400335926
20,2418,G011.1723-00.0656,HII region,10:25.0,-19:17:46.1,1.158,2.206,1.86,4.26,-999,-999,-999,31.3,4.9,-999,13.5,-999,3.30E+04,MIPS/IGA,,11.17197478,-0.064817905
21,2532,G011.3252-01.8040,Young/old star?,17:12.9,-19:59:36.9,4.148,8.774,12.27,14.72,17.7,16.6,14.2,9.2,7.1,nz,1.5,-999,3.00E+04,MIPS/IGA,,11.32528719,-1.804063148
22,2520,G011.3757-01.6770,HII region?,16:50.5,-19:53:20.4,2.778,3.881,2.62,6.22,14.5,12,10.5,8.9,7.1,nz,1.5,,2.90E+03,IRAS,,11.37575441,-1.677186081
23,2525,G011.4201-01.6815,HII/YSO??,16:56.9,-19:51:07.2,5.353,8.249,13.46,98.36,14.8,14,11.5,9.9,7,nz,1.5,,6.70E+03,IRAS,,11.42020558,-1.681638453
24,2527,G011.4890-01.6557,HII region?,16:59.4,-19:46:44.7,1.257,1.162,1.33,9.2,16.3,14.8,13.9,-999,-999,-999,-999.0,-999,-999,MSX,,11.48916638,-1.655847
25,2510,G011.5001-01.4857,HII/YSO,16:22.6,-19:41:19.3,5.379,8.432,8.15,40.7,13.1,11.4,10.3,10.6,6.9,nz,1.5,-999,5.50E+03,MIPS/IGA,,11.50016103,-1.485839249
26,2384,G011.9019+00.7265,YSO?,08:58.8,-18:16:29.8,1.371,2.042,2.53,5.64,16,13.6,11.3,24.8,5.5,nz,3.1,-999,2.10E+03,MIPS/IGA,,11.90139398,0.726655995
27,2381,G011.9033+00.7417,Diffuse HII region,08:55.7,-18:15:57.6,0.491,3.165,5.4,12.59,16.5,14.4,13.5,24.2,5.5,nz,3.1,-999,4.60E+03,MIPS/IGA,,11.90331502,0.741650023
28,2435,G011.9454-00.0373,HII region,11:53.2,-18:36:21.8,7.473,34.512,47.85,110.71,15.5,13.4,11.1,36.4,4.7,-999,3.6,-999,2.60E+04,MIPS/IGA,,11.94418232,-0.036966763
29,2437,G012.0260-00.0317,YSO,12:01.9,-18:31:55.7,0.797,1.648,3.05,5.61,16,14.8,13.1,110.6,2.4,fsa,9.9,-999,2.00E+04,MIPS/IGA,,12.02547822,-0.031486392
30,2446,G012.1917-00.1029,Diffuse HII region,12:38.0,-18:25:14.1,2.063,6.683,8.66,18.27,13.7,12,11.1,27,5.4,-999,3.6,-999,5.60E+03,MIPS/IGA,,12.19187037,-0.103057592
31,2445,G012.1993-00.0342A,HII region,12:23.6,-18:22:54.4,0.655,0.935,1.42,8.87,-999,-999,-999,51,4,fsa,11.9,-999,4.40E+04,MIPS/IGA,,12.19857365,-0.034484936
32,2445,G012.1993-00.0342B,YSO,12:23.4,-18:22:51.0,0.655,0.935,1.42,8.87,-999,-999,-999,51,4,fsa,11.9,-999,3.40E+04,MIPS/IGA,,12.19909816,-0.033476415
33,2521,G012.4314-01.1117,HII region,16:51.3,-18:41:30.1,2.371,1.988,4.44,53.45,-999,-999,-999,39.8,4.6,nz,4.1,-999,9.20E+04,MIPS/IGA,,12.43146776,-1.111774283
34,2494,G012.5932-00.5708,Young/old star?,15:10.3,-18:17:32.1,2.384,4.54,5.84,7.73,15.1,13.2,10.1,15.9,6.4,nz,2.2,-999,8.30E+03,MIPS/IGA,,12.59272126,-0.570449917
